date,lower_bound,estimate,upper_bound
2020-07-30,1.0484422184260842,1.0933074572078847,1.1400925820984016
2020-07-31,1.0441878042215906,1.0884519905633165,1.1345925809241029
2020-08-01,1.047298275335819,1.091283671351226,1.137116406475457
2020-08-02,1.0475852617414743,1.0914842065343908,1.1372227317646344
2020-08-03,1.0487621058933863,1.092642334560766,1.1383585129226304
2020-08-04,1.0493998280189791,1.0927961056619742,1.1379869680409158
2020-08-05,1.0510213542539955,1.0940862341652196,1.138915668026049
2020-08-06,1.0494769180872474,1.092136058886774,1.1365292085648098
2020-08-07,1.0471775470387414,1.089355631074957,1.1332325586148333
2020-08-08,1.049683239863551,1.0918286696207788,1.135666264387379
2020-08-09,1.047815402485099,1.0897420806911606,1.1333463886984503
2020-08-10,1.0487171804067446,1.090542572926579,1.1340360638547562
2020-08-11,1.0461354768404332,1.0874476529199604,1.1303912581309998
2020-08-12,1.0465298098431215,1.0876740751597096,1.130435925138024
2020-08-13,1.0480922861916713,1.0890591713534354,1.131627333141283
2020-08-14,1.0496494332635056,1.0905475489004715,1.1330392021602358
2020-08-15,1.0519491205486629,1.0927184443763471,1.1350678234870282
2020-08-16,1.0528423065888435,1.0936040707266665,1.1359439642816205
2020-08-17,1.052248258051817,1.092819339598502,1.1349547028109177
2020-08-18,1.0530713352329242,1.0936014243086165,1.135691415420879
2020-08-19,1.051003680494202,1.0911237654296981,1.1327753590031797
2020-08-20,1.0505979073979508,1.0904570751883451,1.1318284801969516
2020-08-21,1.0496254813173433,1.0891881168941802,1.130241953057936
2020-08-22,1.0495274873803064,1.088895728101963,1.1297406889630668
2020-08-23,1.049653132048736,1.0889411355851037,1.1296996698851545
2020-08-24,1.0502451563168456,1.0895146940000726,1.130252552275477
2020-08-25,1.0512214229321917,1.0903462189726332,1.130927177941087
2020-08-26,1.0542781367735083,1.0933384660834027,1.133845955561549
2020-08-27,1.0549638843042917,1.093914049476083,1.1343022879217386
2020-08-28,1.0568170831383266,1.0955796872544197,1.1357640506340925
2020-08-29,1.0570052855263357,1.0956152105377408,1.1356354655917662
2020-08-30,1.05552517039584,1.0939062303048193,1.1336829042655074
2020-08-31,1.0555970355527282,1.0938650513529629,1.1335203778257028
2020-09-01,1.0558319266754492,1.0938910004370102,1.1333219716180296
2020-09-02,1.0593064688045413,1.0968770385931108,1.1357801290032439
2020-09-03,1.059868356058699,1.0973180033561099,1.1360909056357862
2020-09-04,1.059986323193747,1.09718345281168,1.1356859072451675
2020-09-05,1.0592388048352974,1.0962745733192203,1.134605279395057
2020-09-06,1.0578315421498707,1.0947939480289997,1.13304788227908
2020-09-07,1.0576553019810688,1.094614982007917,1.1328662151004267
